x y depth yinc xinc strike dip rake slip Sample
96.3984 18.2829 2.1651 5 5 353 60 162 0.4334 2
96.4223 18.2857 6.4952 5 5 353 60 162 0.5648 2
96.4463 18.2884 10.8253 5 5 353 60 159 0.5843 2
96.4702 18.2911 15.1554 5 5 353 60 155 0.5719 2
96.4942 18.2939 19.4856 5 5 353 60 150 0.5759 2
96.5182 18.2966 23.8157 5 5 353 60 148 0.5963 2
96.5421 18.2993 28.1458 5 5 353 60 146 0.5688 2
96.5661 18.3020 32.4760 5 5 353 60 143 0.3875 2
96.3927 18.3276 2.1651 5 5 353 60 157 0.8917 2
96.4167 18.3303 6.4952 5 5 353 60 160 0.9397 2
96.4406 18.3331 10.8253 5 5 353 60 159 0.9097 2
96.4646 18.3358 15.1554 5 5 353 60 154 0.8904 2
96.4885 18.3385 19.4856 5 5 353 60 150 0.8960 2
96.5125 18.3412 23.8157 5 5 353 60 147 0.8908 2
96.5365 18.3440 28.1458 5 5 353 60 145 0.8101 2
96.5604 18.3467 32.4760 5 5 353 60 143 0.5310 2
96.3870 18.3722 2.1651 5 5 353 60 154 1.1011 2
96.4110 18.3750 6.4952 5 5 353 60 158 1.0906 2
96.4349 18.3777 10.8253 5 5 353 60 159 1.0412 2
96.4589 18.3804 15.1554 5 5 353 60 156 0.9928 2
96.4829 18.3832 19.4856 5 5 353 60 151 0.9681 2
96.5068 18.3859 23.8157 5 5 353 60 148 0.9216 2
96.5308 18.3886 28.1458 5 5 353 60 145 0.7937 2
96.5548 18.3913 32.4760 5 5 353 60 145 0.4931 2
96.3814 18.4169 2.1651 5 5 353 60 150 1.1493 2
96.4053 18.4196 6.4952 5 5 353 60 154 1.1114 2
96.4293 18.4223 10.8253 5 5 353 60 158 1.0526 2
96.4532 18.4251 15.1554 5 5 353 60 157 0.9790 2
96.4772 18.4278 19.4856 5 5 353 60 152 0.9226 2
96.5012 18.4305 23.8157 5 5 353 60 148 0.8470 2
96.5251 18.4332 28.1458 5 5 353 60 145 0.7041 2
96.5491 18.4360 32.4760 5 5 353 60 144 0.4274 2
96.3757 18.4615 2.1651 5 5 353 60 146 1.1795 2
96.3996 18.4643 6.4952 5 5 353 60 149 1.1380 2
96.4236 18.4670 10.8253 5 5 353 60 153 1.0604 2
96.4476 18.4697 15.1554 5 5 353 60 154 0.9517 2
